binary;function;function count;common linux file;networking;
/bin/brctl (-rwxr-xr-x root root);mmap;1;true;no;
/bin/usbmount2 (-rwxr-xr-x root root);system;1;false;no;
/bin/pppoe-discovery (-rwxr-xr-x root root);system;1;true;yes;
/bin/auth (-rwxr-xr-x root root);printf;1;true;yes;
/bin/iapp (-rwxr-xr-x root root);popen;1;false;yes;
/bin/ip6tables (-rwxr-xr-x root root);fprintf;1;true;no;
/bin/brctl (-rwxr-xr-x root root);popen;1;true;no;
/bin/igmpproxy (-rwxr-xr-x root root);mmap;1;false;yes;
/bin/mldproxy (-rwxr-xr-x root root);mmap;1;false;yes;
/bin/smbpasswd (-rwxr-xr-x root root);fprintf;1;true;no;
/bin/iwcontrol (-rwxr-xr-x root root);mmap;1;false;no;
/bin/l2tpd (-rwxr-xr-x root root);sprintf;1;false;yes;
/bin/iwpriv (-rwxr-xr-x root root);fprintf;1;true;no;
/bin/busybox (-rwxr-xr-x root root);fprintf;1;true;yes;
/bin/flash (-rwxr-xr-x root root);sprintf;1;false;yes;
/bin/iapp (-rwxr-xr-x root root);printf;1;false;yes;
/bin/lld2d (-rwxr-xr-x root root);fprintf;1;false;yes;
/bin/brctl (-rwxr-xr-x root root);printf;1;true;no;
/bin/smbpasswd (-rwxr-xr-x root root);mmap;1;true;no;
/bin/mldproxy (-rwxr-xr-x root root);popen;1;false;yes;
/bin/igmpproxy (-rwxr-xr-x root root);popen;1;false;yes;
/bin/iwpriv (-rwxr-xr-x root root);mmap;1;true;no;
/bin/iapp (-rwxr-xr-x root root);sprintf;1;false;yes;
/bin/iwcontrol (-rwxr-xr-x root root);popen;1;false;no;
/bin/brctl (-rwxr-xr-x root root);sprintf;1;true;no;
/bin/smbpasswd (-rwxr-xr-x root root);popen;1;true;no;
/bin/auth (-rwxr-xr-x root root);sprintf;1;true;yes;
/bin/lld2d (-rwxr-xr-x root root);mmap;1;false;yes;
/bin/mldproxy (-rwxr-xr-x root root);printf;1;false;yes;
/bin/iwpriv (-rwxr-xr-x root root);popen;1;true;no;
/bin/l2tpd (-rwxr-xr-x root root);strcat;1;false;yes;
/bin/igmpproxy (-rwxr-xr-x root root);printf;1;false;yes;
/bin/iapp (-rwxr-xr-x root root);strcat;1;false;yes;
/bin/brctl (-rwxr-xr-x root root);strcat;1;true;no;
/bin/wscd (-rwxr-xr-x root root);popen;1;false;yes;
/bin/flash (-rwxr-xr-x root root);strcat;1;false;yes;
/bin/ip6tables (-rwxr-xr-x root root);mmap;1;true;no;
/bin/iwcontrol (-rwxr-xr-x root root);printf;1;false;no;
/bin/smbpasswd (-rwxr-xr-x root root);printf;1;true;no;
/bin/mldproxy (-rwxr-xr-x root root);sprintf;1;false;yes;
/bin/iwpriv (-rwxr-xr-x root root);printf;1;true;no;
/bin/brctl (-rwxr-xr-x root root);strcpy;1;true;no;
/bin/iapp (-rwxr-xr-x root root);strcpy;1;false;yes;
/bin/smbpasswd (-rwxr-xr-x root root);sprintf;1;true;no;
/bin/lld2d (-rwxr-xr-x root root);popen;1;false;yes;
/bin/igmpproxy (-rwxr-xr-x root root);sprintf;1;false;yes;
/bin/iwcontrol (-rwxr-xr-x root root);sprintf;1;false;no;
/bin/iwpriv (-rwxr-xr-x root root);sprintf;1;true;no;
/bin/l2tpd (-rwxr-xr-x root root);strcpy;1;false;yes;
/bin/mldproxy (-rwxr-xr-x root root);strcat;1;false;yes;
/bin/iapp (-rwxr-xr-x root root);system;1;false;yes;
/bin/smbpasswd (-rwxr-xr-x root root);strcat;1;true;no;
/bin/brctl (-rwxr-xr-x root root);system;1;true;no;
/bin/ntfs-3g (-rwxr-xr-x root root);mmap;1;true;no;
/bin/auth (-rwxr-xr-x root root);strcat;1;true;yes;
/bin/flash (-rwxr-xr-x root root);strcpy;1;false;yes;
/bin/smbd (-rwxr-xr-x root root);fprintf;1;true;yes;
/bin/igmpproxy (-rwxr-xr-x root root);strcat;1;false;yes;
/bin/iwcontrol (-rwxr-xr-x root root);strcat;1;false;no;
/bin/iwpriv (-rwxr-xr-x root root);strcat;1;true;no;
/bin/lld2d (-rwxr-xr-x root root);printf;1;false;yes;
