binary;function;function count;common linux file;networking;
/bin/routed (-rwxr-xr-x root root);printf;60;false;yes;
/bin/wscd (-rwxr-xr-x root root);strcpy;78;false;yes;
/bin/pppoe-server (-rwxr-xr-x root root);fprintf;18;true;yes;
/bin/ip6tables (-rwxr-xr-x root root);printf;848;true;no;
/bin/mldproxy (-rwxr-xr-x root root);system;2;false;yes;
/bin/igmpproxy (-rwxr-xr-x root root);system;2;false;yes;
/bin/lld2d (-rwxr-xr-x root root);strcpy;7;false;yes;
/bin/routed (-rwxr-xr-x root root);sprintf;1;false;yes;
/bin/pppoe (-rwxr-xr-x root root);strcpy;3;true;yes;
/bin/busybox (-rwxr-xr-x root root);sprintf;25;true;yes;
/bin/pptp (-rwxr-xr-x root root);fprintf;9;true;yes;
/bin/pppd (-rwxr-xr-x root root);printf;107;true;yes;
/bin/lld2d (-rwxr-xr-x root root);system;2;false;yes;
/bin/pppoe-relay (-rwxr-xr-x root root);fprintf;14;true;yes;
/bin/wscd (-rwxr-xr-x root root);system;20;false;yes;
/bin/ntfs-3g (-rwxr-xr-x root root);sprintf;7;true;no;
/bin/ip (-rwxr-xr-x root root);fprintf;507;true;yes;
/bin/disktype (-rwxr-xr-x root root);fprintf;5;false;no;
/bin/ip6tables (-rwxr-xr-x root root);sprintf;4;true;no;
/bin/pppoe-server (-rwxr-xr-x root root);printf;37;true;yes;
/bin/smbd (-rwxr-xr-x root root);mmap;1;true;yes;
/bin/routed (-rwxr-xr-x root root);strcpy;12;false;yes;
/sbin/dnsmasq (-rwxr-xr-x root root);fprintf;2;true;yes;
/bin/iptables (-rwxr-xr-x root root);fprintf;44;true;no;
/sbin/mtd_write (-rwxr-xr-x root root);fprintf;18;false;no;
/bin/pptp (-rwxr-xr-x root root);popen;3;true;yes;
/bin/pppoe-server (-rwxr-xr-x root root);sprintf;7;true;yes;
/bin/pppd (-rwxr-xr-x root root);sprintf;16;true;yes;
/bin/routed (-rwxr-xr-x root root);system;1;false;yes;
/bin/pppoe-relay (-rwxr-xr-x root root);printf;20;true;yes;
/bin/busybox (-rwxr-xr-x root root);strcat;20;true;yes;
/bin/ip6tables (-rwxr-xr-x root root);strcat;8;true;no;
/bin/pptp (-rwxr-xr-x root root);printf;21;true;yes;
/bin/tc (-rwxr-xr-x root root);printf;507;true;yes;
/sbin/lanmapd2 (-rwxr-xr-x root root);fprintf;18;false;yes;
/bin/pppoe-relay (-rwxr-xr-x root root);sprintf;5;true;yes;
/bin/disktype (-rwxr-xr-x root root);printf;38;false;no;
/bin/ntfs-3g (-rwxr-xr-x root root);strcat;16;true;no;
/bin/pppoe-server (-rwxr-xr-x root root);strcpy;4;true;yes;
/sbin/mtd_write (-rwxr-xr-x root root);printf;21;false;no;
/sbin/dnsmasq (-rwxr-xr-x root root);printf;23;true;yes;
/bin/disktype (-rwxr-xr-x root root);sprintf;21;false;no;
/bin/ip6tables (-rwxr-xr-x root root);strcpy;31;true;no;
/bin/tc (-rwxr-xr-x root root);sprintf;6;true;yes;
/bin/nmbd (-rwxr-xr-x root root);system;2;true;yes;
/bin/pppoe-relay (-rwxr-xr-x root root);strcpy;4;true;yes;
/bin/busybox (-rwxr-xr-x root root);strcpy;42;true;yes;
/bin/pptp (-rwxr-xr-x root root);strcpy;2;true;yes;
/sbin/dnsmasq (-rwxr-xr-x root root);sprintf;15;true;yes;
/bin/ip (-rwxr-xr-x root root);printf;588;true;yes;
/sbin/lanmapd2 (-rwxr-xr-x root root);printf;41;false;yes;
/bin/pppd (-rwxr-xr-x root root);strcpy;13;true;yes;
/bin/disktype (-rwxr-xr-x root root);strcat;2;false;no;
/bin/tc (-rwxr-xr-x root root);strcat;3;true;yes;
/sbin/lanmapd2 (-rwxr-xr-x root root);sprintf;4;false;yes;
/sbin/dhcp6s (-rwxr-xr-x root root);fprintf;7;false;yes;
/sbin/dnsmasq (-rwxr-xr-x root root);strcat;8;true;yes;
/bin/disktype (-rwxr-xr-x root root);strcpy;13;false;no;
/bin/ntfs-3g (-rwxr-xr-x root root);strcpy;15;true;no;
/bin/ip (-rwxr-xr-x root root);sprintf;9;true;yes;
/bin/pppd (-rwxr-xr-x root root);system;9;true;yes;
/bin/iptables (-rwxr-xr-x root root);printf;974;true;no;
/sbin/dnsmasq (-rwxr-xr-x root root);strcpy;17;true;yes;
/sbin/tftpd (-rwxr-xr-x root root);printf;103;true;yes;
/sbin/lanmapd2 (-rwxr-xr-x root root);strcpy;8;false;yes;
/sbin/signalc (-rwxr-xr-x root root);fprintf;28;false;yes;
/bin/tc (-rwxr-xr-x root root);strcpy;11;true;yes;
/bin/busybox (-rwxr-xr-x root root);system;5;true;yes;
/sbin/proxy (-rwxr-xr-x root root);fprintf;3;true;yes;
/sbin/resetd (-rwxr-xr-x root root);printf;1;false;no;
/bin/smbd (-rwxr-xr-x root root);popen;1;true;yes;
/bin/ip (-rwxr-xr-x root root);strcat;3;true;yes;
/sbin/tftpd (-rwxr-xr-x root root);sprintf;40;true;yes;
/sbin/lanmapd2 (-rwxr-xr-x root root);system;1;false;yes;
/sbin/dumpleases (-rwxr-xr-x root root);printf;13;false;no;
/sbin/app_sync (-rwxr-xr-x root root);printf;10;false;yes;
/sbin/bulkagent (-rwxr-xr-x root root);fprintf;1;false;no;
/bin/iptables (-rwxr-xr-x root root);sprintf;6;true;no;
/sbin/ntpclient (-rwxr-xr-x root root);fprintf;3;false;yes;
/sbin/dhcp6s (-rwxr-xr-x root root);popen;1;false;yes;
/sbin/tftpd (-rwxr-xr-x root root);strcat;2;true;yes;
/sbin/lang_merge (-rwxr-xr-x root root);fprintf;1;false;no;
/sbin/getBootVersion (-rwxr-xr-x root root);printf;2;false;no;
/sbin/radvd (-rwxr-xr-x root root);fprintf;18;true;yes;
/bin/ip (-rwxr-xr-x root root);strcpy;19;true;yes;
/sbin/proxy (-rwxr-xr-x root root);printf;18;true;yes;
/sbin/tftpd (-rwxr-xr-x root root);strcpy;12;true;yes;
/sbin/signalc (-rwxr-xr-x root root);popen;2;false;yes;
/sbin/tsa (-rwxr-xr-x root root);fprintf;4;false;yes;
/sbin/resetd (-rwxr-xr-x root root);system;2;false;no;
/sbin/proxy (-rwxr-xr-x root root);sprintf;14;true;yes;
/sbin/dhcp6s (-rwxr-xr-x root root);printf;432;false;yes;
/sbin/bulkagent (-rwxr-xr-x root root);printf;55;false;no;
/sbin/tftpd (-rwxr-xr-x root root);system;72;true;yes;
/bin/iptables (-rwxr-xr-x root root);strcat;8;true;no;
/sbin/ntpclient (-rwxr-xr-x root root);printf;14;false;yes;
/sbin/signalc (-rwxr-xr-x root root);printf;103;false;yes;
/sbin/lang_merge (-rwxr-xr-x root root);printf;18;false;no;
/sbin/bulkagent (-rwxr-xr-x root root);sprintf;21;false;no;
/sbin/ntpclient (-rwxr-xr-x root root);sprintf;1;false;yes;
/sbin/tsa (-rwxr-xr-x root root);popen;1;false;yes;
/sbin/udhcpc (-rwxr-xr-x root root);fprintf;5;false;yes;
/sbin/proxy (-rwxr-xr-x root root);strcpy;2;true;yes;
/sbin/udhcpd (-rwxr-xr-x root root);fprintf;1;false;yes;
/sbin/lang_merge (-rwxr-xr-x root root);sprintf;13;false;no;
/sbin/dhcp6s (-rwxr-xr-x root root);sprintf;7;false;yes;
/sbin/bulkagent (-rwxr-xr-x root root);strcat;8;false;no;
/sbin/radvd (-rwxr-xr-x root root);printf;21;true;yes;
/sbin/signalc (-rwxr-xr-x root root);sprintf;7;false;yes;
/bin/iptables (-rwxr-xr-x root root);strcpy;32;true;no;
/sbin/proxy (-rwxr-xr-x root root);system;2;true;yes;
/sbin/dhcp6c (-rwxr-xr-x root root);fprintf;12;false;yes;
/sbin/tsa (-rwxr-xr-x root root);printf;34;false;yes;
/sbin/bulkagent (-rwxr-xr-x root root);strcpy;7;false;no;
/sbin/bulkUpgrade (-rwxr-xr-x root root);printf;24;false;no;
/sbin/ntpclient (-rwxr-xr-x root root);strcpy;4;false;yes;
/sbin/lang_merge (-rwxr-xr-x root root);strcpy;3;false;no;
/sbin/bulkagent (-rwxr-xr-x root root);system;17;false;no;
/sbin/tsa (-rwxr-xr-x root root);sprintf;14;false;yes;
/sbin/bulkUpgrade (-rwxr-xr-x root root);sprintf;6;false;no;
/sbin/signalc (-rwxr-xr-x root root);strcat;4;false;yes;
/sbin/mdb (-rwxr-xr-x root root);printf;1;false;no;
/sbin/udhcpc (-rwxr-xr-x root root);printf;14;false;yes;
/sbin/ntpclient (-rwxr-xr-x root root);system;1;false;yes;
/sbin/udhcpd (-rwxr-xr-x root root);printf;6;false;yes;
/sbin/lang_merge (-rwxr-xr-x root root);system;4;false;no;
/sbin/mDNSResponderPosix (-rwxr-xr-x root root);fprintf;30;false;yes;
/sbin/radvd (-rwxr-xr-x root root);strcat;1;true;yes;
/bin/smbd (-rwxr-xr-x root root);printf;105;true;yes;
/sbin/udhcpc (-rwxr-xr-x root root);sprintf;7;false;yes;
/sbin/mailsend (-rwxr-xr-x root root);fprintf;32;false;no;
/sbin/jjhttpd (-rwxr-xr-x root root);fprintf;10;false;yes;
/sbin/udhcpd (-rwxr-xr-x root root);sprintf;1;false;yes;
/sbin/dhcp6s (-rwxr-xr-x root root);strcpy;4;false;yes;
/sbin/signalc (-rwxr-xr-x root root);strcpy;3;false;yes;
