binary;function;function count;common linux file;networking;
/lib/ld-uClibc-0.9.30.3.so (-rwxr-xr-x root root);printf;18;false;no;
/lib/librt-0.9.30.3.so (-rwxr-xr-x root root);printf;1;false;no;
/lib/librt-0.9.30.3.so (-rwxr-xr-x root root);sprintf;1;false;no;
/lib/libuClibc-0.9.30.3.so (-rwxr-xr-x root root);fprintf;41;false;no;
/lib/libuClibc-0.9.30.3.so (-rwxr-xr-x root root);mmap;2;false;no;
/lib/libuClibc-0.9.30.3.so (-rwxr-xr-x root root);printf;80;false;no;
/lib/libuClibc-0.9.30.3.so (-rwxr-xr-x root root);sprintf;20;false;no;
/lib/libuClibc-0.9.30.3.so (-rwxr-xr-x root root);strcat;3;false;no;
/lib/libuClibc-0.9.30.3.so (-rwxr-xr-x root root);strcpy;29;false;no;
