binary;function;function count;common linux file;networking;
/usr/sbin/ddns (-rwxr-xr-x root root);sprintf;3;false;no;
/usr/sbin/schboot (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/elog (-rwxr-xr-x root root);fprintf;5;false;no;
/usr/sbin/eventd (-rwxr-xr-x root root);sprintf;90;false;no;
/usr/sbin/upnp_igd (-rwxr-xr-x root root);sprintf;57;false;yes;
/usr/sbin/factory_reset (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/rtsp/rtspd (-rwxr-xr-x root root);strcpy;18;false;yes;
/usr/sbin/cfg (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/hwmon (-rwxr-xr-x root root);system;9;false;no;
/usr/sbin/mDNSResponderPosix (-rwxr-xr-x root root);strcpy;1;false;yes;
/usr/sbin/set_passwd (-rwxr-xr-x root root);fprintf;5;false;no;
/usr/sbin/pppd (-rwxr-xr-x root root);sprintf;1;true;no;
/usr/sbin/mdb (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/httpd-manager (-rwxr-xr-x root root);system;11;false;no;
/usr/sbin/mkdosfs (-rwxr-xr-x root root);fprintf;5;false;no;
/usr/sbin/ddns (-rwxr-xr-x root root);strcpy;5;false;no;
/usr/sbin/rtkmib (-rwxr-xr-x root root);fprintf;4;false;no;
/usr/sbin/elog (-rwxr-xr-x root root);printf;2;false;no;
/usr/sbin/eventd (-rwxr-xr-x root root);strcat;7;false;no;
/usr/sbin/upnp_igd (-rwxr-xr-x root root);strcpy;15;false;yes;
/usr/sbin/factory_reset (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/hnap_tool_wifi_sitesurvey (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/cfg (-rwxr-xr-x root root);printf;1;false;no;
/usr/lib/libFVnetwork.so (-rw-r--r-- root root);sprintf;1;false;no;
/usr/sbin/mdb (-rwxr-xr-x root root);strcpy;8;false;no;
/usr/lib/libUserConfig.so (-rw-r--r-- root root);fprintf;10;false;no;
/usr/sbin/pppd (-rwxr-xr-x root root);strcpy;3;true;no;
