binary;function;function count;common linux file;networking;
/usr/sbin/msger (-rwxr-xr-x root root);strcat;1;false;no;
/usr/bin/flash_eraseall (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/wanip_detect (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/hnap_push_service (-rwxr-xr-x root root);popen;1;false;no;
/usr/sbin/llmnr (-rwxr-xr-x root root);sprintf;1;false;yes;
/usr/sbin/sysmgr (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/fw_upgrade (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/dlinkpsk (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/md5sum (-rwxr-xr-x root root);system;1;true;no;
/usr/sbin/ntpclient (-rwxr-xr-x root root);sprintf;1;false;yes;
/usr/sbin/userconfig (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/twinkling (-rwxr-xr-x root root);system;1;false;no;
/usr/bin/iwpriv (-rwxr-xr-x root root);strcat;1;true;no;
/usr/sbin/getpreviewimg (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/wanip_detect (-rwxr-xr-x root root);system;1;false;no;
/usr/bin/flash_eraseall (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/msger (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/iperf (-rwxr-xr-x root root);printf;1;true;no;
/usr/sbin/netmgr (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/sysmgr (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/upnp (-rwxr-xr-x root root);sprintf;1;false;yes;
/usr/sbin/llmnr (-rwxr-xr-x root root);strcat;1;false;yes;
/usr/sbin/fw_upgrade (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/msger (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/userconfig (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/makeBonjourFile (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/ipfind (-rwxr-xr-x root root);fprintf;1;false;yes;
/usr/sbin/ntpclient (-rwxr-xr-x root root);strcat;1;false;yes;
/usr/bin/iwpriv (-rwxr-xr-x root root);strcpy;1;true;no;
/usr/sbin/hnap_push_service (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/getpreviewimg (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/llmnr (-rwxr-xr-x root root);strcpy;1;false;yes;
/usr/sbin/netmgr (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/makeBonjourFile (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/upnp (-rwxr-xr-x root root);strcat;1;false;yes;
/usr/sbin/ipfind (-rwxr-xr-x root root);mmap;1;false;yes;
/usr/bin/iwpriv (-rwxr-xr-x root root);system;1;true;no;
/usr/sbin/iperf (-rwxr-xr-x root root);sprintf;1;true;no;
/usr/sbin/userconfig (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/hwmon (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/ddp (-rwxr-xr-x root root);fprintf;1;false;yes;
/usr/sbin/ntpclient (-rwxr-xr-x root root);strcpy;1;false;yes;
/usr/sbin/makeBonjourFile (-rwxr-xr-x root root);popen;1;false;no;
/usr/sbin/llmnr (-rwxr-xr-x root root);system;1;false;yes;
/usr/sbin/rscam_uvc (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/ipfind (-rwxr-xr-x root root);popen;1;false;yes;
/usr/sbin/getpreviewimg (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/mDNSClientPosix (-rwxr-xr-x root root);fprintf;1;false;yes;
/usr/sbin/hwmon (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/hnap_push_service (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/upnp (-rwxr-xr-x root root);strcpy;1;false;yes;
/usr/sbin/netmgr (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/ntpclient (-rwxr-xr-x root root);system;1;false;yes;
/usr/sbin/makeBonjourFile (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/schboot (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/iperf (-rwxr-xr-x root root);strcat;1;true;no;
/usr/sbin/ipfind (-rwxr-xr-x root root);printf;1;false;yes;
/usr/sbin/hwmon (-rwxr-xr-x root root);popen;1;false;no;
/usr/sbin/makeBonjourFile (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/rtsp/rtspd (-rwxr-xr-x root root);fprintf;1;false;yes;
/usr/sbin/mdb (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/schboot (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/ddp (-rwxr-xr-x root root);mmap;1;false;yes;
/usr/sbin/netmgr (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/upnp (-rwxr-xr-x root root);system;1;false;yes;
/usr/sbin/getpreviewimg (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/eventd (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/makeBonjourFile (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/hwmon (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/ipfind (-rwxr-xr-x root root);sprintf;1;false;yes;
/usr/sbin/rscam_uvc (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/upnp_igd (-rwxr-xr-x root root);fprintf;1;false;yes;
/usr/sbin/hnap_push_service (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/schboot (-rwxr-xr-x root root);popen;1;false;no;
/usr/sbin/iperf (-rwxr-xr-x root root);strcpy;1;true;no;
/usr/sbin/makeBonjourFile (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/ipfind (-rwxr-xr-x root root);strcat;1;false;yes;
/usr/sbin/mDNSClientPosix (-rwxr-xr-x root root);mmap;1;false;yes;
/usr/sbin/hwmon (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/schboot (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/mdb (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/getpreviewimg (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/netmgr (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/makeBonjourFile (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/pppd (-rwxr-xr-x root root);fprintf;1;true;no;
/usr/sbin/upnp_igd (-rwxr-xr-x root root);mmap;1;false;yes;
/usr/sbin/ipfind (-rwxr-xr-x root root);strcpy;1;false;yes;
/usr/sbin/schboot (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/iperf (-rwxr-xr-x root root);system;1;true;no;
/usr/sbin/hnap_push_service (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/hwmon (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/swdog (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/ddp (-rwxr-xr-x root root);popen;1;false;yes;
/usr/sbin/httpd-manager (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/rscam_uvc (-rwxr-xr-x root root);popen;1;false;no;
/usr/sbin/ddns (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/mDNSResponderPosix (-rwxr-xr-x root root);fprintf;1;false;yes;
/usr/sbin/elog (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/swdog (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/schboot (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/ipfind (-rwxr-xr-x root root);system;1;false;yes;
/usr/sbin/mdb (-rwxr-xr-x root root);popen;1;false;no;
/usr/sbin/httpd-manager (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/rtsp/rtspd (-rwxr-xr-x root root);mmap;1;false;yes;
/usr/sbin/hwmon (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/ddns (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/upnp_igd (-rwxr-xr-x root root);popen;1;false;yes;
/usr/sbin/mDNSClientPosix (-rwxr-xr-x root root);popen;1;false;yes;
/usr/sbin/eventd (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/elog (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/swdog (-rwxr-xr-x root root);popen;1;false;no;
/usr/sbin/schboot (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/factory_reset (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/httpd-manager (-rwxr-xr-x root root);popen;1;false;no;
/usr/sbin/hnap_push_service (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/ddns (-rwxr-xr-x root root);popen;1;false;no;
/usr/sbin/swdog (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/elog (-rwxr-xr-x root root);popen;1;false;no;
/usr/sbin/hwmon (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/schboot (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/ddp (-rwxr-xr-x root root);printf;1;false;yes;
/usr/sbin/rscam_uvc (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/httpd-manager (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/factory_reset (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/cfg (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/upnp_igd (-rwxr-xr-x root root);printf;1;false;yes;
/usr/sbin/ddns (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/swdog (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/mdb (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/elog (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/factory_reset (-rwxr-xr-x root root);popen;1;false;no;
/usr/sbin/mDNSResponderPosix (-rwxr-xr-x root root);mmap;1;false;yes;
/usr/sbin/httpd-manager (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/set_passwd (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/cfg (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/mkdosfs (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/swdog (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/elog (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/pppd (-rwxr-xr-x root root);mmap;1;true;no;
/usr/sbin/ddns (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/set_passwd (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/httpd-manager (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/factory_reset (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/cfg (-rwxr-xr-x root root);popen;1;false;no;
/usr/sbin/mDNSClientPosix (-rwxr-xr-x root root);printf;1;false;yes;
/usr/sbin/swdog (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/elog (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/ddp (-rwxr-xr-x root root);sprintf;1;false;yes;
/usr/sbin/ddns (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/upnp_igd (-rwxr-xr-x root root);sprintf;1;false;yes;
/usr/sbin/rscam_uvc (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/mkdosfs (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/set_passwd (-rwxr-xr-x root root);popen;1;false;no;
/usr/sbin/factory_reset (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/httpd-manager (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/cfg (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/mdb (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/swdog (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/eventd (-rwxr-xr-x root root);popen;1;false;no;
/usr/sbin/elog (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/rtsp/rtspd (-rwxr-xr-x root root);popen;1;false;yes;
/usr/sbin/ddns (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/factory_reset (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/set_passwd (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/cfg (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/httpd-manager (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/mkdosfs (-rwxr-xr-x root root);popen;1;false;no;
/usr/sbin/mDNSResponderPosix (-rwxr-xr-x root root);popen;1;false;yes;
/usr/sbin/elog (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/rtkmib (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/ddns (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/factory_reset (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/set_passwd (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/upnp_igd (-rwxr-xr-x root root);strcat;1;false;yes;
/usr/sbin/cfg (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/hnap_tool_wifi_sitesurvey (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/rscam_uvc (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/rtkmib (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/mkdosfs (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/ddp (-rwxr-xr-x root root);strcat;1;false;yes;
/usr/sbin/mdb (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/factory_reset (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/cfg (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/lib/libFVnetwork.so (-rw-r--r-- root root);fprintf;1;false;no;
/usr/sbin/set_passwd (-rwxr-xr-x root root);strcat;1;false;no;
/usr/lib/libUserConfig.so (-rw-r--r-- root root);fprintf;1;false;no;
/usr/sbin/mDNSClientPosix (-rwxr-xr-x root root);sprintf;1;false;yes;
/usr/sbin/hnap_tool_wifi_sitesurvey (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/rtkmib (-rwxr-xr-x root root);popen;1;false;no;
/usr/sbin/cfg (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/mkdosfs (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/set_passwd (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/lib/libFVnetwork.so (-rw-r--r-- root root);mmap;1;false;no;
/usr/sbin/hnap_tool_wifi_sitesurvey (-rwxr-xr-x root root);popen;1;false;no;
/usr/sbin/pppd (-rwxr-xr-x root root);popen;1;true;no;
/usr/lib/libUserConfig.so (-rw-r--r-- root root);mmap;1;false;no;
/usr/sbin/rtkmib (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/upnp_igd (-rwxr-xr-x root root);strcpy;1;false;yes;
/usr/sbin/set_passwd (-rwxr-xr-x root root);system;1;false;no;
/usr/lib/libSemafor.so (-rw-r--r-- root root);fprintf;1;false;no;
/usr/sbin/mdb (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/hnap_tool_wifi_sitesurvey (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/mDNSResponderPosix (-rwxr-xr-x root root);printf;1;false;yes;
/usr/sbin/rtkmib (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/lib/libUserConfig.so (-rw-r--r-- root root);popen;1;false;no;
/usr/lib/libFVnetwork.so (-rw-r--r-- root root);popen;1;false;no;
/usr/sbin/mkdosfs (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/rscam_uvc (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/rtsp/rtspd (-rwxr-xr-x root root);printf;1;false;yes;
/usr/sbin/ddp (-rwxr-xr-x root root);strcpy;1;false;yes;
/usr/sbin/eventd (-rwxr-xr-x root root);printf;1;false;no;
/usr/lib/libSemafor.so (-rw-r--r-- root root);mmap;1;false;no;
/usr/lib/libEventLog.so (-rw-r--r-- root root);fprintf;1;false;no;
/usr/sbin/hnap_tool_wifi_sitesurvey (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/rtkmib (-rwxr-xr-x root root);strcat;1;false;no;
/usr/lib/libUserConfig.so (-rw-r--r-- root root);printf;1;false;no;
/usr/lib/libFVnetwork.so (-rw-r--r-- root root);printf;1;false;no;
/usr/sbin/mDNSClientPosix (-rwxr-xr-x root root);strcat;1;false;yes;
/usr/lib/libSemafor.so (-rw-r--r-- root root);popen;1;false;no;
/usr/sbin/upnp_igd (-rwxr-xr-x root root);system;1;false;yes;
/usr/sbin/mkdosfs (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/lib/libEventLog.so (-rw-r--r-- root root);mmap;1;false;no;
/usr/sbin/hnap_tool_wifi_sitesurvey (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/rtkmib (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/lib/libUserConfig.so (-rw-r--r-- root root);sprintf;1;false;no;
/usr/sbin/mdb (-rwxr-xr-x root root);system;1;false;no;
/usr/lib/libFVnetwork.so (-rw-r--r-- root root);sprintf;1;false;no;
/usr/lib/libSemafor.so (-rw-r--r-- root root);printf;1;false;no;
/usr/lib/libEventLog.so (-rw-r--r-- root root);popen;1;false;no;
/usr/lib/librtkmib.so (-rw-r--r-- root root);fprintf;1;false;no;
/usr/sbin/rscam_uvc (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/hnap_tool_wifi_sitesurvey (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/mkdosfs (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/rtkmib (-rwxr-xr-x root root);system;1;false;no;
/usr/lib/libUserConfig.so (-rw-r--r-- root root);strcat;1;false;no;
/usr/lib/libSemafor.so (-rw-r--r-- root root);sprintf;1;false;no;
/usr/sbin/ddp (-rwxr-xr-x root root);system;1;false;yes;
/usr/lib/libEMail.so (-rw-r--r-- root root);fprintf;1;false;no;
/usr/lib/libFVnetwork.so (-rw-r--r-- root root);strcat;1;false;no;
/usr/lib/librtkmib.so (-rw-r--r-- root root);mmap;1;false;no;
/usr/sbin/mDNSResponderPosix (-rwxr-xr-x root root);sprintf;1;false;yes;
/usr/lib/libEventLog.so (-rw-r--r-- root root);printf;1;false;no;
/usr/sbin/hnap_tool_wifi_sitesurvey (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/pppd (-rwxr-xr-x root root);printf;1;true;no;
/usr/lib/libPayload.so (-rw-r--r-- root root);fprintf;1;false;no;
/usr/lib/libUserConfig.so (-rw-r--r-- root root);strcpy;1;false;no;
/usr/lib/libSemafor.so (-rw-r--r-- root root);strcat;1;false;no;
/usr/lib/libutl.so.0 (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/lib/libcfg.so (-rw-r--r-- root root);fprintf;1;false;no;
/usr/lib/librtkmib.so (-rw-r--r-- root root);popen;1;false;no;
/usr/lib/libsitelist.so (-rw-r--r-- root root);fprintf;1;false;no;
/usr/lib/libEventLog.so (-rw-r--r-- root root);sprintf;1;false;no;
/usr/sbin/mDNSClientPosix (-rwxr-xr-x root root);strcpy;1;false;yes;
/usr/lib/libFVnetwork.so (-rw-r--r-- root root);strcpy;1;false;no;
/usr/lib/libEMail.so (-rw-r--r-- root root);mmap;1;false;no;
/usr/lib/libPayload.so (-rw-r--r-- root root);mmap;1;false;no;
/usr/lib/libUserConfig.so (-rw-r--r-- root root);system;1;false;no;
/usr/lib/libSemafor.so (-rw-r--r-- root root);strcpy;1;false;no;
/usr/lib/librtkmib.so (-rw-r--r-- root root);printf;1;false;no;
/usr/lib/libsitelist.so (-rw-r--r-- root root);mmap;1;false;no;
/usr/lib/libEventLog.so (-rw-r--r-- root root);strcat;1;false;no;
/usr/lib/libFVwireless.so (-rw-r--r-- root root);fprintf;1;false;no;
/usr/sbin/rtsp/rtspd (-rwxr-xr-x root root);sprintf;1;false;yes;
/usr/sbin/eventd (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/lib/libcfg.so (-rw-r--r-- root root);mmap;1;false;no;
/usr/lib/libutl.so.0 (-rwxr-xr-x root root);mmap;1;false;no;
/usr/lib/libFVnetwork.so (-rw-r--r-- root root);system;1;false;no;
/usr/lib/libEMail.so (-rw-r--r-- root root);popen;1;false;no;
/usr/lib/libSemafor.so (-rw-r--r-- root root);system;1;false;no;
/usr/lib/libPayload.so (-rw-r--r-- root root);popen;1;false;no;
/usr/lib/libsitelist.so (-rw-r--r-- root root);popen;1;false;no;
/usr/lib/librtkmib.so (-rw-r--r-- root root);sprintf;1;false;no;
/usr/lib/libEventLog.so (-rw-r--r-- root root);strcpy;1;false;no;
/usr/lib/libnet.so.0 (-rwxr-xr-x root root);fprintf;1;false;yes;
/usr/lib/libutl.so.0 (-rwxr-xr-x root root);popen;1;false;no;
/usr/lib/libFVbase64.so (-rw-r--r-- root root);fprintf;1;false;no;
/usr/lib/libcfg.so (-rw-r--r-- root root);popen;1;false;no;
/usr/lib/libFVwireless.so (-rw-r--r-- root root);mmap;1;false;no;
/usr/lib/libPayload.so (-rw-r--r-- root root);printf;1;false;no;
/usr/lib/libFVbridge.so (-rw-r--r-- root root);fprintf;1;false;no;
/usr/lib/libEMail.so (-rw-r--r-- root root);printf;1;false;no;
